invoice,DATE,#rooms,HOURS,SUBTOTAL,TOTAL,DISCOUNT,invoice_date,membership_level,discount_type,day_type,day_dur,rooms
915015,2016-05-12,  4.00,  6.50,3037.50,2693.75,  0.11,2015-09-30,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,"A,B,J,O"
915014,2016-01-29,  2.00,  5.00,1635.00,1495.00,  0.09,2015-10-28,FULL_TIME,NONE,WEEKEND,PARTIAL_DAY,"A,B"
915013,2015-09-30,  1.00,  5.50,1316.82,1316.82,  0.00,2015-09-28,FULL_TIME,NONE,WEEKDAY,FULL_DAY,B
915012,2015-10-06,  1.00,  5.00,920.00,920.00,  0.00,2015-09-11,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,J
915011,2015-10-22,  1.00,  5.00,1792.50,802.50,  0.55,2015-09-24,NON_MEMBER,FOUNDER,WEEKDAY,PARTIAL_DAY,B
915010,2015-10-03,  3.00,  5.50,2405.00,1469.00,  0.39,2015-10-01,PART_TIME,REOCURRING,WEEKEND,FULL_DAY,"A,B,O"
915009,2015-11-21,  1.00,  9.50,2467.50,692.50,  0.72,2015-09-18,FULL_TIME,FRIEND,WEEKEND,FULL_DAY,B
915008,2015-10-28,  1.00,  4.00,934.00,934.00,  0.00,2015-09-15,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,B
915007,2015-10-07,  1.00,  3.00,842.50,842.50,  0.00,2015-09-14,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,B
915006,2015-10-21,  1.00,  3.50,1001.55,1001.55,  0.00,2015-10-19,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,B
915005,2015-09-29,  1.00,  4.50,1030.00,985.00,  0.04,2015-09-09,FULL_TIME,unknown,WEEKDAY,PARTIAL_DAY,B
915004,2016-04-02,  4.00, 10.50,5637.50,5092.50,  0.10,2015-09-03,NON_MEMBER,MULTI_ROOM,WEEKEND,FULL_DAY,"A,B,E,J"
915003,2015-11-18,  1.00,  4.00,998.41,894.41,  0.10,2015-11-17,FULL_TIME,FOUNDER,WEEKDAY,PARTIAL_DAY,A
915002,2015-10-01,  1.00,  4.00,940.00,940.00,  0.00,2015-09-03,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,A
915001,2015-03-12,  1.00,  7.00,2090.00,2090.00,  0.00,2015-09-02,NON_MEMBER,NONE,WEEKEND,FULL_DAY,B
815016,2015-09-15,  2.00,  4.50,1692.50,1542.50,  0.09,2015-08-31,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,"A,B"
815015,9/15/15-11/22/15,  1.00, 86.00,5160.00,2250.00,  0.56,2015-08-28,FULL_TIME,FOUNDER,WEEKDAY,FULL_DAY,O
815014,2015-03-26,  1.00,  7.00,2070.00,1912.50,  0.08,2015-08-25,FULL_TIME,unknown,WEEKEND,FULL_DAY,B
815013,2015-08-29,  1.00,  5.50,1790.00,1790.00,  0.00,2015-08-24,NON_MEMBER,NONE,WEEKEND,FULL_DAY,B
815012,2015-08-28,  1.00,  5.50,1797.28,1797.28,  0.00,2015-08-21,PART_TIME,NONE,WEEKEND,FULL_DAY,B
815011,2015-08-22,  1.00,  5.00,1287.50,1287.50,  0.00,2015-08-21,FULL_TIME,NONE,WEEKEND,PARTIAL_DAY,B
815009,2015-08-18,  1.00,  3.00,375.00, 30.00,  0.92,2015-08-18,NON_MEMBER,FOUNDER,WEEKDAY,PARTIAL_DAY,O
815008,2015-09-03,  1.00,  4.00,1300.00,1300.00,  0.00,2015-08-18,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,B
815007,2015-10-04,  2.00,  9.50,3520.00,3126.25,  0.11,2015-09-22,NON_MEMBER,MULTI_ROOM,WEEKEND,FULL_DAY,"A,B"
815006,2015-10-24,  1.00,  9.00,1695.00,1548.00,  0.09,2015-12-02,FULL_TIME,unknown,WEEKEND,FULL_DAY,A
815005,2015-11-01,  1.00,  5.00,2165.00,2165.00,  0.00,2015-10-12,NON_MEMBER,NONE,WEEKEND,PARTIAL_DAY,B
815004,2015-09-26,  1.00, 10.00,2730.00,1972.00,  0.28,2015-10-28,PART_TIME,MULTI_DAY,WEEKEND,FULL_DAY,B
815003,2015-11-07,  2.00, 11.50,2940.00,2057.50,  0.30,2015-11-11,PART_TIME,MULTI_ROOM,WEEKEND,FULL_DAY,"B,J"
815002,2015-10-15,  3.00,  8.00,2677.50,2304.38,  0.14,2015-10-05,NON_MEMBER,RETURNING,WEEKDAY,FULL_DAY,"B,D,E"
815001,2015-11-19,  1.00,  4.50,1180.23,1180.23,  0.00,2015-11-06,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,B
715014,2015-11-20,  1.00,  7.00,1515.00,1168.50,  0.23,2015-07-31,FULL_TIME,FRIEND,WEEKEND,FULL_DAY,A
715013,2015-08-08,  1.00,  7.50,2045.00,2045.00,  0.00,2015-08-04,NON_MEMBER,NONE,WEEKEND,FULL_DAY,B
715012,2015-11-15,  3.00,  9.00,4765.00,3041.25,  0.36,2015-11-06,NON_MEMBER,FOUNDER,WEEKEND,FULL_DAY,"A,B,O"
715011,2015-09-17,  1.00,  5.00,1510.00,1510.00,  0.00,2015-12-02,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,B
715010,2015-09-16,  1.00,  5.00,1710.00,1710.00,  0.00,2015-07-24,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,B
715009,2015-08-12,  2.00,  4.50,1715.00,1577.50,  0.08,2015-07-22,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,"A,B"
715008,2015-08-11,  1.00,  4.00,805.05,805.05,  0.00,2015-08-07,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,B
715007,2011-08-13,  1.00,  6.00,1610.00,620.00,  0.61,2015-07-21,FULL_TIME,FOUNDER,WEEKDAY,FULL_DAY,B
715006,2011-09-18,  1.00,  7.50,2317.50,1998.75,  0.14,2015-07-20,unknown,MULTI_ROOM,WEEKEND,FULL_DAY,B
715005,2011-07-18,  1.00,  7.00,1480.00,407.90,  0.72,2015-07-17,FULL_TIME,FOUNDER,WEEKEND,FULL_DAY,B
715004,2015-07-27,  1.00,  3.00,535.00,354.50,  0.34,2015-07-24,NON_MEMBER,FOUNDER,WEEKDAY,PARTIAL_DAY,O
715003,2015-08-14,  1.00,  6.50,2210.00,815.00,  0.63,2015-07-28,PART_TIME,FRIEND,WEEKEND,FULL_DAY,B
715002,2015-11-12,  3.00, 13.00,3465.00,2489.00,  0.28,2015-11-11,NON_MEMBER,FRIEND,WEEKDAY,FULL_DAY,"A,B,U"
715001,2015-11-13,  2.00,  7.00,2570.00,2360.00,  0.08,2015-11-11,FULL_TIME,MULTI_ROOM,WEEKEND,FULL_DAY,"A,B"
615006,2015-07-10,,  3.00,660.00,660.00,  0.00,,,,,PARTIAL_DAY,
615005,2015-10-16,  1.00,  5.50,1970.00,1970.00,  0.00,2015-10-05,PART_TIME,MULTI_ROOM,WEEKEND,FULL_DAY,B
615004,2015-06-21,,,160.00,160.00,  0.00,,,,,PARTIAL_DAY,
615003,2015-06-23,  1.00,  5.00,1290.00,1290.00,  0.00,2015-06-03,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,B
615002,2015-06-07,  4.00, 12.25,3332.50,803.75,  0.76,2015-06-08,FULL_TIME,FOUNDER,WEEKEND,FULL_DAY,"A,B,J,U"
615001,2015-10-23,  3.00,  7.00,4030.00,3518.12,  0.13,2015-09-04,NON_MEMBER,NONE,WEEKEND,FULL_DAY,"B,J,O"
515006,2015-05-29,  1.00,  4.50,1372.50,1308.75,  0.05,2015-05-26,PART_TIME,MULTI_ROOM,WEEKEND,PARTIAL_DAY,B
515005,2015-06-03,  1.00,  4.00,1010.00,1010.00,  0.00,2015-08-06,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,A
515004,2015-05-23,  4.00,  8.00,4095.80,1850.00,  0.55,2015-05-19,FULL_TIME,FOUNDER,WEEKEND,FULL_DAY,"A,B,J,O"
515002,2015-06-24,  1.00,  3.50,210.00,210.00,  0.00,2015-05-05,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,O
515002,2015-06-17,  1.00,  3.50,210.00,210.00,  0.00,2015-05-05,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,O
515002,2015-06-10,  1.00,  3.50,210.00,210.00,  0.00,2015-05-05,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,O
515002,2015-06-03,  1.00,  3.50,210.00,210.00,  0.00,2015-05-05,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,O
515002,2015-05-27,  1.00,  3.50,210.00,210.00,  0.00,2015-05-05,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,O
515001,2015-07-04,  1.00, 10.00,2785.00,2582.50,  0.07,2015-05-01,FULL_TIME,unknown,WEEKEND,FULL_DAY,B
512003,2015-06-09,  2.00,  5.00,1680.00,1540.50,  0.08,2015-05-12,unknown,MULTI_ROOM,WEEKDAY,PARTIAL_DAY,"A,O"
415019,2015-09-24,  3.00,  9.50,2305.00,2305.00,  0.00,2015-04-29,NON_MEMBER,NONE,WEEKDAY,FULL_DAY,"B,M,M"
415018,2015-05-21,  1.00,  4.50,1577.50,1577.50,  0.00,2015-05-18,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,B
415017,2015-05-09,  1.00,  4.50,1396.49,1396.49,  0.00,2015-05-06,PART_TIME,NONE,WEEKEND,PARTIAL_DAY,B
415016,2015-09-18,  1.00,  7.00,1900.00,1900.00,  0.00,2015-04-27,PART_TIME,NONE,WEEKEND,FULL_DAY,B
415015,2015-05-05,  1.00,  5.00,1355.00,620.00,  0.54,2015-04-24,PART_TIME,FRIEND,WEEKDAY,PARTIAL_DAY,B
415014,2015-04-15,  2.00,  4.00,452.50,452.50,  0.00,2015-04-21,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,"D,O"
415013,2015-04-15,  1.00,  4.00,180.00,  0.00,  1.00,2015-05-12,PART_TIME,unknown,WEEKDAY,PARTIAL_DAY,D
415012,2015-05-20,  1.00,  4.50,945.00,945.00,  0.00,2015-04-16,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,A
415011,2015-04-24,  2.00,  9.00,1757.50,1195.00,  0.32,2015-04-16,NON_MEMBER,FOUNDER,WEEKEND,FULL_DAY,"A,O"
415010,2015-02-24,  1.00,  5.00,1590.00,1590.00,  0.00,2015-04-10,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,B
415009,2015-04-18,  1.00,  4.00,410.00,360.00,  0.12,2015-04-10,PART_TIME,FOUNDER,WEEKEND,PARTIAL_DAY,O
415008,2015-07-13,  2.00,  6.50,1687.50,1687.50,  0.00,2015-06-26,NON_MEMBER,NONE,WEEKDAY,FULL_DAY,"B,E"
415007,2015-09-25,  2.00,  7.00,2655.00,2441.25,  0.08,2015-09-16,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,"A,B"
415006,2015-06-04,,, 35.36, 35.36,  0.00,,,,,PARTIAL_DAY,
415005,2015-04-25,  1.00,  4.00,460.00,424.00,  0.08,2015-05-22,FULL_TIME,unknown,WEEKEND,PARTIAL_DAY,U
415004,2015-04-11,  1.00,  6.50,555.00,464.00,  0.16,2015-05-22,FULL_TIME,unknown,WEEKEND,FULL_DAY,U
415002,2015-08-15,  2.00, 12.00,6112.58,4600.58,  0.25,2015-08-21,NON_MEMBER,unknown,WEEKEND,FULL_DAY,"A,B"
315013,2015-04-14,  1.00,  3.00,135.00,135.00,  0.00,2015-03-30,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,D
315012,2015-05-16,  1.00,  6.50,1860.00,1860.00,  0.00,2015-04-29,PART_TIME,NONE,WEEKEND,FULL_DAY,B
315011,2015-04-21,  1.00,  5.00,1409.00,701.00,  0.50,2015-04-16,NON_MEMBER,FRIEND,WEEKDAY,PARTIAL_DAY,B
315010,2015-03-25,  1.00,  4.50,895.00,895.00,  0.00,2015-03-23,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,J
315009,2015-04-23,  1.00,  4.50,1440.00,1440.00,  0.00,2015-03-20,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,B
315008,2015-05-02,  3.00, 10.00,3315.00,3020.25,  0.09,2015-04-28,FULL_TIME,unknown,WEEKEND,FULL_DAY,"B,J,U"
315007,2015-04-14,  1.00,  4.00,1160.00,1160.00,  0.00,2015-04-07,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,B
315006,2015-04-16,  1.00,  3.50,240.00,240.00,  0.00,2015-03-20,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,O
315005,2015-04-04,  1.00,  7.50,1775.00,406.45,  0.77,2015-04-01,FULL_TIME,FRIEND,WEEKEND,FULL_DAY,B
315004,2015-03-25,  1.00,  4.50,717.50,210.00,  0.71,2015-03-11,NON_MEMBER,FOUNDER,WEEKDAY,PARTIAL_DAY,O
315003,2015-03-27,  1.00,  6.50,1942.50,1942.50,  0.00,2015-03-06,FULL_TIME,FOUNDER,WEEKEND,FULL_DAY,B
315002,3/28-3/29,  2.00, 20.00,6464.00,3176.00,  0.51,2015-03-24,PART_TIME,MULTI_DAY,WEEKEND,FULL_DAY,"A,B"
315001,2015-04-09,  2.00,  6.25,1660.00,1583.50,  0.05,2015-04-01,FULL_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,"B,O"
2201,2015-02-25,  1.00,  6.00,2375.00,600.00,  0.75,2014-12-26,NON_MEMBER,FRIEND,WEEKDAY,FULL_DAY,B
2200,2015-01-10,  1.00,  7.00,2035.00,499.90,  0.75,2014-12-23,PART_TIME,FRIEND,WEEKEND,FULL_DAY,B
2199,2015-04-25,  4.00, 12.50,5657.50,5297.75,  0.06,2015-04-22,NON_MEMBER,MULTI_ROOM,WEEKEND,FULL_DAY,"A,B,E,J"
2198,2015-04-22,  1.00,  3.00,135.00,135.00,  0.00,2014-12-12,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,M
2198,2015-04-15,  1.00,  3.00,135.00,135.00,  0.00,2014-12-12,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,O
2198,2015-04-08,  1.00,  3.00,135.00,135.00,  0.00,2014-12-12,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,M
2198,2015-04-01,  1.00,  3.00,135.00,135.00,  0.00,2014-12-12,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,M
2197,2015-03-25,  1.00,  3.00,135.00,135.00,  0.00,2014-12-12,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,M
2197,2015-03-18,  1.00,  3.00,135.00,135.00,  0.00,2014-12-12,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,O
2197,2015-03-11,  1.00,  3.00,135.00,135.00,  0.00,2014-12-12,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,M
2197,2015-03-04,  1.00,  3.00,135.00,135.00,  0.00,2014-12-12,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,M
2196,2015-02-06,  1.00,  3.50,832.50,495.00,  0.41,2015-01-29,NON_MEMBER,FRIEND,WEEKEND,PARTIAL_DAY,A
2195,2014-12-18,  1.00,  2.50,202.50,202.50,  0.00,2014-12-09,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,M
2194,2015-01-15,,,170.00,170.00,  0.00,,,,,PARTIAL_DAY,
2193,2014-01-14,  1.00,  4.50,1307.50,1307.50,  0.00,2015-01-06,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,B
2192,2014-12-18,  1.00,  4.50,1200.00,610.00,  0.49,2014-12-04,unknown,unknown,WEEKDAY,PARTIAL_DAY,B
2191,2015-01-27,  1.00,  2.50,180.00,180.00,  0.00,2015-01-21,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,O
2190,2014-12-31,  1.00,  6.50,3540.00,3540.00,  0.00,2014-11-26,NON_MEMBER,NONE,WEEKDAY,FULL_DAY,B
2189,2014-12-10,  1.00,  4.00,390.00,390.00,  0.00,2014-11-25,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,M
2188,2014-12-06,  2.00,  5.00,1005.00,1005.00,  0.00,2014-11-25,FULL_TIME,NONE,WEEKEND,PARTIAL_DAY,"E,O"
2187,2015-01-31,,, 30.10, 30.10,  0.00,,,,,PARTIAL_DAY,
2186,2014-12-09,  1.00,  2.00, 85.00, 85.00,  0.00,2014-11-24,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,D
2185,2014-11-08,  1.00,  4.00,1120.00,493.50,  0.56,2014-11-05,NON_MEMBER,unknown,WEEKEND,PARTIAL_DAY,A
2184,2014-12-08,  2.00,  5.00,2395.00,1217.50,  0.49,2014-11-20,NON_MEMBER,FOUNDER,WEEKDAY,PARTIAL_DAY,"A,B"
2183,2014-11-15,  1.00,  6.50,1715.00,301.45,  0.82,2014-11-19,FULL_TIME,FRIEND,WEEKEND,FULL_DAY,B
2182,2014-12-10,  2.00,  5.00,2620.00,1923.00,  0.27,2014-11-06,NON_MEMBER,MULTI_ROOM,WEEKDAY,PARTIAL_DAY,"A,B"
2181,2014-11-12,  1.00,  5.00,1635.00,811.80,  0.50,2014-11-11,FULL_TIME,FRIEND,WEEKDAY,PARTIAL_DAY,B
2180,2015-01-17,  2.00, 10.00,2485.00,1960.00,  0.21,2014-11-11,PART_TIME,NONE,WEEKEND,FULL_DAY,"B,D"
2179,2015-04-18,  1.00,  6.00,2090.00,2090.00,  0.00,2014-11-11,NON_MEMBER,NONE,WEEKEND,FULL_DAY,A
2178,2015-03-21,  1.00,  5.00,1155.00,1155.00,  0.00,2014-11-11,NON_MEMBER,NONE,WEEKEND,PARTIAL_DAY,O
2177,2014-12-14,  1.00,  8.00,2182.00,1955.20,  0.10,2014-11-11,NON_MEMBER,unknown,WEEKEND,FULL_DAY,J
2176,2014-12-13,  1.00,  8.00,2182.00,1955.20,  0.10,2014-11-11,NON_MEMBER,unknown,WEEKEND,FULL_DAY,J
2175,2014-11-22,  1.00,  3.00,655.00,655.00,  0.00,2014-11-10,NON_MEMBER,NONE,WEEKEND,PARTIAL_DAY,U
2174,2014-11-19,  1.00,  3.50,222.50,222.50,  0.00,2014-10-29,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,U
2173,2014-11-08,  1.00,  8.00,480.00,432.00,  0.10,2014-11-03,FULL_TIME,unknown,WEEKEND,FULL_DAY,U
2172,2014-12-16,  1.00,  5.00,1225.00,1225.00,  0.00,2014-11-07,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,B
2171,2014-10-29,  2.00,  5.50,1120.00,1120.00,  0.00,2014-11-04,FULL_TIME,NONE,WEEKDAY,FULL_DAY,"B,O"
2170,2014-12-09,  3.00,  7.50,2132.50,1940.00,  0.09,2014-11-04,NON_MEMBER,MULTI_ROOM,WEEKDAY,FULL_DAY,"B,E,W"
