day_type,day_dur,discount_type,membership_level,ROOM,AMOUNT,EFF_RATE
WEEKDAY,PARTIAL_DAY,DISCOUNT,NON_MEMBER,EAST_OAK,,
WEEKDAY,PARTIAL_DAY,DISCOUNT,NON_MEMBER,WEST_OAK,,
WEEKDAY,PARTIAL_DAY,DISCOUNT,NON_MEMBER,DOWNTOWN,,
WEEKDAY,PARTIAL_DAY,DISCOUNT,NON_MEMBER,UPTOWN,85.00,63.75
WEEKDAY,PARTIAL_DAY,DISCOUNT,NON_MEMBER,MERIDIAN,,
WEEKDAY,PARTIAL_DAY,DISCOUNT,NON_MEMBER,OMI,115.00,34.50
WEEKDAY,PARTIAL_DAY,DISCOUNT,NON_MEMBER,JINGLETOWN,150.00,112.50
WEEKDAY,PARTIAL_DAY,DISCOUNT,NON_MEMBER,ATRIUM,195.00,104.81
WEEKDAY,PARTIAL_DAY,DISCOUNT,NON_MEMBER,BROADWAY,272.35,145.80
WEEKDAY,PARTIAL_DAY,DISCOUNT,PART_TIME,EAST_OAK,,
WEEKDAY,PARTIAL_DAY,DISCOUNT,PART_TIME,WEST_OAK,,
WEEKDAY,PARTIAL_DAY,DISCOUNT,PART_TIME,DOWNTOWN,45.00, 0.00
WEEKDAY,PARTIAL_DAY,DISCOUNT,PART_TIME,UPTOWN,,
WEEKDAY,PARTIAL_DAY,DISCOUNT,PART_TIME,MERIDIAN,,
WEEKDAY,PARTIAL_DAY,DISCOUNT,PART_TIME,OMI,,
WEEKDAY,PARTIAL_DAY,DISCOUNT,PART_TIME,JINGLETOWN,,
WEEKDAY,PARTIAL_DAY,DISCOUNT,PART_TIME,ATRIUM,,
WEEKDAY,PARTIAL_DAY,DISCOUNT,PART_TIME,BROADWAY,248.33,111.25
WEEKDAY,PARTIAL_DAY,DISCOUNT,FULL_TIME,EAST_OAK,,
WEEKDAY,PARTIAL_DAY,DISCOUNT,FULL_TIME,WEST_OAK,,
WEEKDAY,PARTIAL_DAY,DISCOUNT,FULL_TIME,DOWNTOWN, 0.00, 0.00
WEEKDAY,PARTIAL_DAY,DISCOUNT,FULL_TIME,UPTOWN,,
WEEKDAY,PARTIAL_DAY,DISCOUNT,FULL_TIME,MERIDIAN,22.50,18.00
WEEKDAY,PARTIAL_DAY,DISCOUNT,FULL_TIME,OMI,60.00,54.00
WEEKDAY,PARTIAL_DAY,DISCOUNT,FULL_TIME,JINGLETOWN,,
WEEKDAY,PARTIAL_DAY,DISCOUNT,FULL_TIME,ATRIUM,110.00,90.75
WEEKDAY,PARTIAL_DAY,DISCOUNT,FULL_TIME,BROADWAY,180.00,137.14
WEEKDAY,PARTIAL_DAY,DISCOUNT,unknown,EAST_OAK,,
WEEKDAY,PARTIAL_DAY,DISCOUNT,unknown,WEST_OAK,,
