,,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,TOTAL,EFF_RATE,EFF_RATE,EFF_RATE,EFF_RATE,EFF_RATE,EFF_RATE
day_dur,,PARTIAL_DAY,PARTIAL_DAY,PARTIAL_DAY,FULL_DAY,FULL_DAY,FULL_DAY,PARTIAL_DAY,PARTIAL_DAY,PARTIAL_DAY,FULL_DAY,FULL_DAY,FULL_DAY
membership_level,,NON_MEMBER,PART_TIME,FULL_TIME,NON_MEMBER,PART_TIME,FULL_TIME,NON_MEMBER,PART_TIME,FULL_TIME,NON_MEMBER,PART_TIME,FULL_TIME
day_type,SERVICE,,,,,,,,,,,,
WEEKDAY,A/V,150.625,168.33333333333334,138.21428571428572,203.07692307692307,171.11111111111111,229.28571428571428,40.0,40.0,36.42857142857143,40.5982905982906,36.2962962962963,37.142857142857146
WEEKDAY,COMPOSTABLES,48.1,33.2825,56.21333333333333,,30.0,66.82,48.1,33.2825,56.21333333333333,,30.0,66.82
WEEKDAY,DRINKS,42.666666666666664,36.0,27.186666666666667,,,,34.666666666666664,12.0,27.186666666666667,,,
WEEKDAY,JANITORIAL,212.91666666666666,232.75862068965517,179.7058823529412,302.6,361.47058823529414,220.9090909090909,212.91666666666666,231.0344827586207,179.7058823529412,302.6,361.47058823529414,220.9090909090909
WEEKDAY,SECURITY,90.0,,150.0,,,,30.0,,15.0,,,
WEEKDAY,SETUP_RESET,93.48204081632653,110.7258064516129,91.26470588235294,131.61909090909091,206.61764705882354,140.0,47.11730612244898,55.96774193548387,48.181372549019606,62.55672727272727,66.17647058823529,49.166666666666664
WEEKDAY,STAFFING,172.8125,151.25,163.75,193.57142857142858,223.88888888888889,240.83333333333334,37.916666666666664,36.904761904761905,37.88461538461539,35.0,35.55555555555556,31.666666666666668
WEEKEND,A/V,190.0,200.0,160.0,218.95454545454547,208.0,140.0,40.0,40.0,40.0,38.79545454545455,40.0,38.75
WEEKEND,COMPOSTABLES,270.0,66.49,66.82,93.01333333333332,64.38499999999999,36.9025,270.0,66.49,66.82,93.01333333333332,64.38499999999999,36.9025
WEEKEND,DRINKS,,,,58.333333333333336,39.0,44.75,,,,41.666666666666664,13.5,44.75
WEEKEND,JANITORIAL,147.14285714285714,221.42857142857142,223.75,306.4102564102564,285.5405405405405,202.0157894736842,147.14285714285714,221.42857142857142,223.75,306.4102564102564,285.5405405405405,202.0157894736842
WEEKEND,SETUP_RESET,123.61111111111111,158.33333333333334,145.83333333333334,241.35135135135135,169.53947368421052,111.35714285714286,63.333333333333336,70.83333333333333,62.5,71.48648648648648,57.89473684210526,46.57142857142857
WEEKEND,STAFFING,178.1818181818182,185.83333333333334,166.25,270.5,253.63636363636363,231.8548387096774,39.09090909090909,38.333333333333336,35.833333333333336,37.277777777777786,34.95867768595041,30.967741935483872
