invoice,DATE,# rooms,hours
 215003 Forward Together,2014-02-20,1.0,6.0
1015001-2 Str Urb Dev Alliance,2015-10-26,1.0,4.0
1015002 OPC,2015-12-06,2.0,5.5
1015003 Oakland High,2015-10-17,1.0,
1015004 Jenn Bomze_Parttime,2016-02-20,2.0,6.5
1015005-2 Better Vt PreSeed,2015-12-09,1.0,4.5
1015006 Ellis Film,2015-02-25,1.0,5.5
1015007 Nat Em Law Prj,2015-02-25,1.0,5.0
1015007-2 Nat Em Law Prj,2015-02-25,1.0,7.0
1015008 Amigos,2015-11-16,1.0,4.0
1015009 Uptima Holiday Party,2015-12-08,1.0,4.0
1015010 Film Forum,11/4-11/6/15,1.0,16.5
1015011 Captricity,2015-12-10,1.0,7.0
1015012 Youth HUB Pitch Event ,2016-05-14,4.0,8.0
1015013 BUILD AtirumBroad,2015-12-03,2.0,4.0
1115001 ACLU_2rooms_Memb,2015-12-13,2.0,10.0
1115002 Know Yourself ,2015-11-21,1.0,5.5
1115003 Lisa Chacon,2015-11-08,1.0,
1115003-2 Lisa Chacon,2015-11-08,1.0,
1115004 HacktheHood Open House,2011-12-07,2.0,4.5
1115005 SoleSpace,2011-11-20,1.0,4.5
115001-2 P2R Graduation,2015-03-21,1.0,5.5
115001-3 P2R Graduation,2015-03-21,1.0,4.5
115002 LNA_Storytelling,2015-01-16,1.0,6.5
115003 YouthHUB_IHO Holiday,2014-12-17,1.0,3.4
115004 KQED,2014-02-13,1.0,6.5
115005 Friends of Parks&Rec,2015-05-07,5.0,11.0
115005-2 Friends of Parks&Rec,2015-05-07,5.0,10.5
115005-4 Friends of Parks&R ,2015-05-07,5.0,11.0
115007 Inn Oakland Town Hall,2015-02-04,1.0,4.5
115008 Beyond Separation ,2015-01-27,1.0,3.0
115009  Warthogs Youth Rugby,2015-03-14,2.0,7.5
115009-2  Warthogs Youth Rugby,2015-03-14,3.0,11.5
115010 Stephen Busby,2015-05-11,1.0,
115011 Defy Ventures,2015-01-27,1.0,4.5
115012-2 Habitry,2015-06-27,1.0,9.0
115013 Youth Speaks_Olympics,2015-05-30,1.0,5.5
115013-2 Youth Speaks_Olympics ,2015-05-30,1.0,5.0
115014 Debby Irving,2015-02-12,1.0,4.0
115015 SustainAbility RoundTbl,2014-02-12,1.0,4.0
115016 Music for the People Ent,2015-02-15,1.0,8.0
2035 Sungevity Event,2014-04-25,4.0,10.0
2036 Catchafire,2014-04-07,1.0,
2037 Get Storied,5/17 & 5/18,1.0,20.0
2038 Misssey_org membership,2014-06-21,4.0,10.0
2039 United Roots,2014-05-24,4.0,10.0
2041 Bryant Terry,2014-04-09,1.0,
