title,date,description,amount,hours,subtotal,discount,rate,rate_ptm,rate_nm,rate_wkn,rate_wkd,rate_wth,rate_ftm,omi,east_oak,down,atrium,broadway,meditation,west_oak,jingletown,up,kitchen,meridian,fdd,rcd,hdd,fd,pd,mrd
2026 Northgate,2014-03-29,Venue Rental ,275,4,1100,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2026 Northgate,2014-03-29,A/V Person $30/hr,30,5,150,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2027 ULI,2014-03-18,IHO Staffing,25,2,50,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2028 The Ever Forward Club,2014-03-20,Set up/Break down,25,3,75,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2028 The Ever Forward Club,2014-03-20,Venue Rental ,140,3,420,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2029 Higher Circle Education,2014-02-11,Venue Rental ,75,3,225,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2030 Higher Circle SuRu,2014-02-25,Venue Rental ,90,3,270,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2031 Planting Justice Decoloniz,2014-04-11,Venue Rental ,70,2,140,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2032 Planting Justice Soiree,2014-04-11,Large party cleaning fee,100,,100,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2032 Planting Justice Soiree,2014-04-11,A/V Staffing,30,4,120,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2033 Integral Alignment,2014-03-25,Set up/Break down,25,1,25,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2033 Integral Alignment,2014-03-25,Venue Rental ,32.5,4,130,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2035 Sungevity Event,2014-04-25,On Broadway,205,5,1025,,Org Connect Member rate,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2035 Sungevity Event,2014-04-25,Entire Mezzanine,185,5,925,,Org Connect Member rate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2035 Sungevity Event,2014-04-25,A/V Technician,40,6,240,,Org Connect Member rate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2035 Sungevity Event,2014-04-25,Set-up/Break-down ,50,5,250,,Org Connect Member rate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2035 Sungevity Event,2014-04-25,Atrium,130,5,650,,Org Connect Member rate,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2035 Sungevity Event,2014-04-25,Large Party Cleaning Fee,500,,500,,Org Connect Member rate,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2035 Sungevity Event,2014-04-25,Gallery,85,5,425,,Org Connect Member rate,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2036 Catchafire,2014-04-07,On Broadway,275,4,1100,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2037 Get Storied,0001-255-255,Set-up/Break-down ,25,4,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2037 Get Storied,0001-255-255,Coffee Service - $30/day,60,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2037 Get Storied,0001-255-255,On Broadway,205,16,0.1,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2038 Misssey_org membership,2014-06-21,On Broadway,205,6,1230,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2038 Misssey_org membership,2014-06-21,Set-up/Break-down ,50,4,200,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2038 Misssey_org membership,2014-06-21,Atrium,130,6,780,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2038 Misssey_org membership,2014-06-21,Large Party Cleaning Fee,200,,200,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2038 Misssey_org membership,2014-06-21,Gallery,85,6,510,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2038 Misssey_org membership,2014-06-21,A/V tech support,40,6,240,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2038 Misssey_org membership,2014-06-21,Jingletown Lounge,115,6,690,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2039 United Roots,2014-05-24,Downtown,25,4,100,,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2039 United Roots,2014-05-24,On Broadway,140,7,980,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2039 United Roots,2014-05-24,Gallery,60,4,240,,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2039 United Roots,2014-05-24,Set-up/Break-down ,50,3,150,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2039 United Roots,2014-05-24,Atrium,90,4,360,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2040 Catchafire AV,2014-04-07,A/V Technician,60,3,180,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2041 Bryant Terry,2014-04-09,On Broadway,250,,250,,,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
2042 SBA,2014-04-22,Set Up & Break Down,25,2,50,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2042 SBA,2014-04-22,Atrium,90,2.5,225,,,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2043 Ojah Yoga,2014-07-12,Set-up/Break-down ,50,3,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
