 TOTAL,AMOUNT,DATE,DATE OF EVENT,DESCRIPTION,DISCOUNT,DONATION,ESTIMATE TOTAL,ESTIMATED HOURS,ESTIMATED TOTAL,HOURS,HOURS/UNITS,OCCURANCE,SUBTOTAL,TOTAL,rate,sheet
,,,2015-01-13,On Broadway,,,,,,,,,,0,Full Time Member Weekday Rate,2191 SFJazz_OPC
,,,2015-01-13,Atrium,,,,,,,,,,0,Full Time Member Weekday Rate,2191 SFJazz_OPC
,,,2015-01-13,Jingletown Lounge,,,,,,,,,,0,Full Time Member Weekday Rate,2191 SFJazz_OPC
,60,,2015-01-13,OMI Gallery,,,,,,1.5,,,90,90,Full Time Member Weekday Rate,2191 SFJazz_OPC
,,,2015-01-13,Meridian Room,,,,,,,,,,0,Full Time Member Weekday Rate,2191 SFJazz_OPC
,,,2015-01-13,Uptown,,,,,,,,,,0,Full Time Member Weekday Rate,2191 SFJazz_OPC
,,,2015-01-13,Downtown,,,,,,,,,,0,Full Time Member Weekday Rate,2191 SFJazz_OPC
,,,2015-01-13,Weekend Staffing ,,,,,,,,,,0,Full Time Member Weekday Rate,2191 SFJazz_OPC
,30,,2015-01-13,Set Up & Break Down,,,,,,1,,,30,30,Full Time Member Weekday Rate,2191 SFJazz_OPC
,30,,2015-01-13,Sm. Party Waste Removal,,,,,,Flat Fee,,,30,30,Full Time Member Weekday Rate,2191 SFJazz_OPC
,,,2015-01-13,,,,,,,,,,,0,Full Time Member Weekday Rate,2191 SFJazz_OPC
,,,2015-01-13,Total,,,,,,,,,150,150,Full Time Member Weekday Rate,2191 SFJazz_OPC
,140,2014-05-17,,Entire Space,,,,,,3.5,,,,490,,2077 BALLE
,30,2014-05-17,,Set Up & Break Down,,,,,,2,,,,60,,2077 BALLE
,450,2014-05-17,,Large Party Cleaning Fee,,,,,,Flat Fee,,,,450,,2077 BALLE
,40,2014-05-17,,A/V Technician,,,,,,4.5,,,,180,,2077 BALLE
,,2014-05-17,,Total,,,,,,,,,,1180,,2077 BALLE
,295,,2015-09-24,On Broadway,,,,,,,2,,590,590,Non Member Weekday Rate,415019 HERA 10th Anniversary
,,,2015-09-24,Atrium,,,,,,,,,,0,Non Member Weekday Rate,415019 HERA 10th Anniversary
,,,2015-09-24,Jingletown Lounge,,,,,,,,,,0,Non Member Weekday Rate,415019 HERA 10th Anniversary
,,,2015-09-24,OMI Gallery,,,,,,,,,,0,Non Member Weekday Rate,415019 HERA 10th Anniversary
,95,,2015-09-24,Meridian Room,,,,,,,3,,285,285,Non Member Weekday Rate,415019 HERA 10th Anniversary
,,,2015-09-24,Uptown,,,,,,,,,,0,Non Member Weekday Rate,415019 HERA 10th Anniversary
,,,2015-09-24,Downtown,,,,,,,,,,0,Non Member Weekday Rate,415019 HERA 10th Anniversary
,,,2015-09-24,East Oakland,,,,,,,,,,0,Non Member Weekday Rate,415019 HERA 10th Anniversary
,,,2015-09-24,West Oakland,,,,,,,,,,0,Non Member Weekday Rate,415019 HERA 10th Anniversary
,15,,2015-09-24,Meditation Room,,,,,,,5,,75,75,Non Member Weekday Rate,415019 HERA 10th Anniversary
,75,,2015-09-24,Set Up & Reset,,,,,,,4.5,,337.5,337.5,Non Member Weekday Rate,415019 HERA 10th Anniversary
,35,,2015-09-24,IHO Staffing,,,,,,,4,,140,140,Non Member Weekday Rate,415019 HERA 10th Anniversary
,300,,2015-09-24,Standard Janitorial & Waste Removal Fee,,,,,,,Flat Fee,,300,300,Non Member Weekday Rate,415019 HERA 10th Anniversary
,40,,2015-09-24,A/V Sound Technician,,,,,,,6,,240,240,Non Member Weekday Rate,415019 HERA 10th Anniversary
,,,2015-09-24,Coffee Service ,,,,,,,,,,0,Non Member Weekday Rate,415019 HERA 10th Anniversary
