sheet,DATE,DESCRIPTION,AMOUNT,HOURS/UNITS,SUBTOTAL,DISCOUNT,TOTAL,rate
2191 SFJazz_OPC,2015-01-13,OMI Gallery,60.0,1.5,90.0,,90.0,Full Time Member Weekday Rate
2191 SFJazz_OPC,2015-01-13,Set Up & Break Down,30.0,1.0,30.0,,30.0,Full Time Member Weekday Rate
2191 SFJazz_OPC,2015-01-13,Sm. Party Waste Removal,30.0,1.0,30.0,,30.0,Full Time Member Weekday Rate
2191 SFJazz_OPC,2015-01-13,Total,,,150.0,,150.0,Full Time Member Weekday Rate
2077 BALLE,2014-05-17,Entire Space,140.0,3.5,490.0,,490.0,
2077 BALLE,2014-05-17,Set Up & Break Down,30.0,2.0,60.0,,60.0,
2077 BALLE,2014-05-17,Large Party Cleaning Fee,450.0,1.0,450.0,,450.0,
2077 BALLE,2014-05-17,A/V Technician,40.0,4.5,180.0,,180.0,
2077 BALLE,2014-05-17,Total,,,,,1180.0,
415019 HERA 10th Anniversary,2015-09-24,On Broadway,295.0,2.0,590.0,,590.0,Non Member Weekday Rate
415019 HERA 10th Anniversary,2015-09-24,Meridian Room,95.0,3.0,285.0,,285.0,Non Member Weekday Rate
415019 HERA 10th Anniversary,2015-09-24,Meditation Room,15.0,5.0,75.0,,75.0,Non Member Weekday Rate
415019 HERA 10th Anniversary,2015-09-24,Set Up & Reset,75.0,4.5,337.5,,337.5,Non Member Weekday Rate
415019 HERA 10th Anniversary,2015-09-24,IHO Staffing,35.0,4.0,140.0,,140.0,Non Member Weekday Rate
415019 HERA 10th Anniversary,2015-09-24,Standard Janitorial & Waste Removal Fee,300.0,1.0,300.0,,300.0,Non Member Weekday Rate
415019 HERA 10th Anniversary,2015-09-24,A/V Sound Technician,40.0,6.0,240.0,,240.0,Non Member Weekday Rate
415019 HERA 10th Anniversary,2015-09-24,Total,,,1967.5,,1967.5,Non Member Weekday Rate
2067 Worksafe,2014-06-27,On Broadway,295.0,2.0,590.0,,590.0,Non-Member Weekday Rate
2067 Worksafe,2014-06-27,Set Up & Break Down,50.0,2.0,100.0,,100.0,Non-Member Weekday Rate
2067 Worksafe,2014-06-27,Standard Cleaning Fee,250.0,1.0,250.0,,250.0,Non-Member Weekday Rate
2067 Worksafe,2014-06-27,Total,,,,,940.0,Non-Member Weekday Rate
2183 LNA_Fertile,2014-11-15,On Broadway,210.0,3.5,735.0,0.93,51.45,Full Time Member Weekend Rate - Partnership Discount
2183 LNA_Fertile,2014-11-15,Set Up & Break Down,75.0,3.0,225.0,1.0,0.0,Full Time Member Weekend Rate - Partnership Discount
2183 LNA_Fertile,2014-11-15,Standard Janitorial Fee,250.0,1.0,250.0,,250.0,Full Time Member Weekend Rate - Partnership Discount
2183 LNA_Fertile,2014-11-15,Site Manager/Staffing,30.0,6.5,195.0,1.0,0.0,Full Time Member Weekend Rate - Partnership Discount
2183 LNA_Fertile,2014-11-15,Waste Removal,85.0,1.0,85.0,1.0,0.0,Full Time Member Weekend Rate - Partnership Discount
2183 LNA_Fertile,2014-11-15,Total,,,1490.0,,301.45,Full Time Member Weekend Rate - Partnership Discount
215006 BGC Comm Meeting,2015-02-23,On Broadway,180.0,2.5,450.0,0.2,360.0,Full Time Member Weekday Rate - Partner Discount
215006 BGC Comm Meeting,2015-02-23,Set up & Reset,75.0,2.0,150.0,,150.0,Full Time Member Weekday Rate - Partner Discount
215006 BGC Comm Meeting,2015-02-23,IHO Staffing,40.0,3.5,140.0,,140.0,Full Time Member Weekday Rate - Partner Discount
215006 BGC Comm Meeting,2015-02-23,Janitorial Fee/Waste Removal,300.0,1.0,300.0,,300.0,Full Time Member Weekday Rate - Partner Discount
215006 BGC Comm Meeting,2015-02-23,Total,,,1040.0,,950.0,Full Time Member Weekday Rate - Partner Discount
2174 CARE Strategies,2014-11-19,Uptown,65.0,2.5,162.5,,162.5,Part Time Member Weekday Rate
2174 CARE Strategies,2014-11-19,Set Up & Break Down,30.0,1.0,30.0,,30.0,Part Time Member Weekday Rate
2174 CARE Strategies,2014-11-19,Total,,,192.5,,192.5,Part Time Member Weekday Rate
