invoice#,title,rate,date,description,hours,discount,subtotal,rate_wn,rate_ptm,rate_wd,rate_ftm,rate_nm,down,jingletown,up,atrium,broadway,omi,east_oak,west_oak,fdd,rcd,hdd,fd,pd,mrd
2077,BALLE Conference Party,,2014-05-17,Large Party Cleaning Fee,Flat Fee,,450,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2077,BALLE Conference Party,,2014-05-17,Set Up & Break Down,2,,60,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2077,BALLE Conference Party,,2014-05-17,Entire Space,3.5,,490,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2077,BALLE Conference Party,,2014-05-17,A/V Technician,4.5,,180,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2054,Future of Restorative Justice in Oakland 5/6/14,,2014-05-06,Omi Gallery,4,,380,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2054,Future of Restorative Justice in Oakland 5/6/14,,2014-05-06,Set-up/Break-down ,2,,50,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
315008,Kapor Center,Full Time Member Weekend Rate -- Full day discount,2015-05-02,IHO Staffing,12,,480,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
315008,Kapor Center,Full Time Member Weekend Rate -- Full day discount,2015-05-02,Set Up & Reset,2,,150,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
315008,Kapor Center,Full Time Member Weekend Rate -- Full day discount,2015-05-02,On Broadway,10,,2100,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False
315008,Kapor Center,Full Time Member Weekend Rate -- Full day discount,2015-05-02,Large Party Janitorial Fee,Flat Fee,,500,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2093,Black Girls CODE Love is Respect Hackathon,Full Time Member Weekend Rate,,On Broadway,1,,210,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2099,World Trust Annual Gala,Part Time Member Weekday Rate -- Multi-Room Discount,2014-10-02,Lower Level,4.5,0.26,1687.5,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
215015,10th Anniversary Celebration,Non Member Weekend Rate,2015-04-24,Standard Janitorial Fee,Flat Fee,,250,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
215015,10th Anniversary Celebration,Non Member Weekend Rate,2015-04-24,On Broadway,3,,945,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
215015,10th Anniversary Celebration,Non Member Weekend Rate,2015-04-24,IHO Staffing,5.5,,220,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
215015,10th Anniversary Celebration,Non Member Weekend Rate,2015-04-24,Set Up & Break Down,2.5,,250,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
215015,10th Anniversary Celebration,Non Member Weekend Rate,2015-04-24,A/V Technician,5,,200,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
215015,10th Anniversary Celebration,Non Member Weekend Rate,2015-04-24,Waste Removal Fee ,Flat Fee,,100,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2177,IL Apprentice Training,Non Member Weekend Rate  - Full Day Discount,2014-12-14,Janitorial Fee,Flat Fee,,250,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2177,IL Apprentice Training,Non Member Weekend Rate  - Full Day Discount,2014-12-14,Weekend Staffing,10.5,,420,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False
2177,IL Apprentice Training,Non Member Weekend Rate  - Full Day Discount,2014-12-14,Jingletown Lounge,8,0.15,1512,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False
2037,Story University 5/17/2014 & 5/18/2014,,0001-255-255,On Broadway,16,,0.1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
115008,P2R Presents: Beyond Separation's Response to #blacklivesmatter,Full Time Member Weekday Rate - Partnership discount,2015-01-27,OMI Gallery,2,,120,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
115008,P2R Presents: Beyond Separation's Response to #blacklivesmatter,Full Time Member Weekday Rate - Partnership discount,2015-01-27,Set Up & Break Down,1,,30,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2111,Hack the Hood Graduation,Full Time Member Weekday Rate,2014-08-14,Standard Janitorial Fee,Flat Fee,,250,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2111,Hack the Hood Graduation,Full Time Member Weekday Rate,2014-08-14,On Broadway,2,0.58,360,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2111,Hack the Hood Graduation,Full Time Member Weekday Rate,2014-08-14,Set Up & Break Down,2,,100,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2199-2,Spring Gala and Auction,Non Member Weekend Rate - Multi room discount,2015-04-25,Early Set Up,2,,200,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2199-2,Spring Gala and Auction,Non Member Weekend Rate - Multi room discount,2015-04-25,Large Party Janitorial Fee,Flat Fee,,500,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2199-2,Spring Gala and Auction,Non Member Weekend Rate - Multi room discount,2015-04-25,Entire Lower Floor,4.5,0.1,2430,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2199-2,Spring Gala and Auction,Non Member Weekend Rate - Multi room discount,2015-04-25,Jingletown Lounge,4.5,0.1,810,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True
2199-2,Spring Gala and Auction,Non Member Weekend Rate - Multi room discount,2015-04-25,Set Up & Break Down,5,,375,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2199-2,Spring Gala and Auction,Non Member Weekend Rate - Multi room discount,2015-04-25,A/V Technician,8,,320,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2199-2,Spring Gala and Auction,Non Member Weekend Rate - Multi room discount,2015-04-25,IHO Staffing,2,,60,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2199-2,Spring Gala and Auction,Non Member Weekend Rate - Multi room discount,2015-04-25,East Oakland,5.5,0.1,357.5,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True
2199-2,Spring Gala and Auction,Non Member Weekend Rate - Multi room discount,2015-04-25,A/V Technician Consultation,1,,30,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
615004-2,Black Girls Code Hackathon,,2015-06-21,IHO Staffing,2,,80,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
615004-2,Black Girls Code Hackathon,,2015-06-21,A/V Technician,2,,80,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
715004-2,Call for Artists Workshop,Non Member Weekday Rate - Founder Discount,2015-07-27,OMI Gallery,2,0.35,230,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False
715004-2,Call for Artists Workshop,Non Member Weekday Rate - Founder Discount,2015-07-27,Setup & Reset,1,1,50,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
715004-2,Call for Artists Workshop,Non Member Weekday Rate - Founder Discount,2015-07-27,IHO Staffing,3,,105,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
715004-2,Call for Artists Workshop,Non Member Weekday Rate - Founder Discount,2015-07-27,Conference Room Janitorial/Waste Removal Fee,Flat Fee,,100,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2122,Awards Ceremony & Holiday Reception,Non Member Weekday Rate,2014-12-03,Standard Janitorial Fee,Flat Fee,,250,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2122,Awards Ceremony & Holiday Reception,Non Member Weekday Rate,2014-12-03,On Broadway,3,,885,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2122,Awards Ceremony & Holiday Reception,Non Member Weekday Rate,2014-12-03,Set Up & Break Down,2,,100,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2158,Rosenberg Foundation Event,None Member Weekday Rate,2014-12-02,Standard Cleaning Fee,Flat Fee,,250,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2158,Rosenberg Foundation Event,None Member Weekday Rate,2014-12-02,On Broadway,2.5,,737.5,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2158,Rosenberg Foundation Event,None Member Weekday Rate,2014-12-02,Set Up & Break Down,2,,100,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2079,Cinema Club presents the Matatu Film Festival,Full Time Member Weekday Rate,2014-07-16,Standard Cleaning Fee,Flat Fee,,250,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2079,Cinema Club presents the Matatu Film Festival,Full Time Member Weekday Rate,2014-07-16,On Broadway,3,,420,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2079,Cinema Club presents the Matatu Film Festival,Full Time Member Weekday Rate,2014-07-16,Set Up & Break Down,2,,100,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2079,Cinema Club presents the Matatu Film Festival,Full Time Member Weekday Rate,2014-07-16,A/V Technician,2,,80,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2128,Teacher Training,Full Time Member Weekend Rate,0001-255-255,Meridian Room,16,,1200,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2128,Teacher Training,Full Time Member Weekend Rate,0001-255-255,Set Up & Break Down,2,,100,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2087,Summer Wine and Chocolate Event,,2014-07-16,On Broadway,3,,825,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2087,Summer Wine and Chocolate Event,,2014-07-16,Set Up & Break Down,4.5,,67.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2087,Summer Wine and Chocolate Event,,2014-07-16,Atrium,3,,390,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2087,Summer Wine and Chocolate Event,,2014-07-16,Large Party Cleaning Fee,Flat Fee,,500,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
215014-2,Transformative Visions,Non Member Weekend Rate - Partnership Discount,2015-03-21,IHO Staffing,5,,200,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
215014-2,Transformative Visions,Non Member Weekend Rate - Partnership Discount,2015-03-21,Set Up & Reset,2,,200,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
215014-2,Transformative Visions,Non Member Weekend Rate - Partnership Discount,2015-03-21,On Broadway,3,0.4,945,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
215014-2,Transformative Visions,Non Member Weekend Rate - Partnership Discount,2015-03-21,Standard Janitorial Fee/Waste Removal,Flat Fee,,150,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2083,National Poetry Slam Semi Finals,,2014-08-08,Standard Janitorial Fee,Flat Fee,,250,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
815002,Occur Awards Dinner,Non Member Weekday Rate - Returning client discount,2015-10-15,IHO Staffing,4.5,,180,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
815002,Occur Awards Dinner,Non Member Weekday Rate - Returning client discount,2015-10-15,Janitorial/Waste Removal Fee,Flat Fee,,450,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
815002,Occur Awards Dinner,Non Member Weekday Rate - Returning client discount,2015-10-15,Set Up & Reset,2.5,0.25,187.5,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
815002,Occur Awards Dinner,Non Member Weekday Rate - Returning client discount,2015-10-15,On Broadway,2,,590,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False
815002,Occur Awards Dinner,Non Member Weekday Rate - Returning client discount,2015-10-15,Speciality A/V Sound Technician,4,,160,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
615002-2,The Whole Person Economy,Full time Member Weekend Rate - Founders Discount,2015-06-07,Set Up & Reset,2.75,1,206.25,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
615002-2,The Whole Person Economy,Full time Member Weekend Rate - Founders Discount,2015-06-07,On Broadway,9.5,0.75,1995,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
615002-2,The Whole Person Economy,Full time Member Weekend Rate - Founders Discount,2015-06-07,Jingletown Lounge,1,1,105,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False
615002-2,The Whole Person Economy,Full time Member Weekend Rate - Founders Discount,2015-06-07,Atrium,1,1,140,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
