invoice,DATE,invoice_date,ROOM,AMOUNT,HOURS_UNITS,SUBTOTAL,DISCOUNT,TOTAL,membership_level,discount_type,day_type,day_dur,EFF_RATE
1015001-2,2015-10-26,2015-10-19,BROADWAY,295.00, 2.00,590.00, 0.00,590.00,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,295.00
1015002,2015-12-06,2015-10-07,BROADWAY,210.00, 3.00,630.00, 0.00,630.00,FULL_TIME,NONE,WEEKEND,FULL_DAY,210.00
1015002,2015-12-06,2015-10-07,EAST_OAK,45.00, 3.00,135.00, 1.00, 0.00,FULL_TIME,NONE,WEEKEND,FULL_DAY, 0.00
1015002-2,2015-12-06,2015-11-11,BROADWAY,210.00, 3.00,630.00, 0.00,630.00,FULL_TIME,NONE,WEEKEND,FULL_DAY,210.00
1015002-2,2015-12-06,2015-11-11,JINGLETOWN,105.00, 3.00,315.00, 1.00, 0.00,FULL_TIME,NONE,WEEKEND,FULL_DAY, 0.00
1015002-2,2015-12-06,2015-11-11,EAST_OAK,45.00, 3.00,135.00, 1.00, 0.00,FULL_TIME,NONE,WEEKEND,FULL_DAY, 0.00
1015002-3,2015-12-06,2015-12-02,BROADWAY,210.00, 3.00,630.00, 0.00,630.00,FULL_TIME,NONE,WEEKEND,FULL_DAY,210.00
1015002-3,2015-12-06,2015-12-02,JINGLETOWN,105.00, 3.00,315.00, 1.00, 0.00,FULL_TIME,NONE,WEEKEND,FULL_DAY, 0.00
1015002-3,2015-12-06,2015-12-02,EAST_OAK,45.00, 3.00,135.00, 1.00, 0.00,FULL_TIME,NONE,WEEKEND,FULL_DAY, 0.00
1015003,2015-10-17,2015-10-12,OMI,85.00, 3.50,297.50, 0.00,297.50,unknown,NONE,WEEKEND,PARTIAL_DAY,85.00
1015004,2016-02-20,2015-10-26,BROADWAY,255.00, 4.00,1020.00, 0.00,1020.00,PART_TIME,MULTI_ROOM,WEEKEND,FULL_DAY,255.00
1015004,2016-02-20,2015-10-26,JINGLETOWN,145.00, 4.00,580.00, 0.50,290.00,PART_TIME,MULTI_ROOM,WEEKEND,FULL_DAY,72.50
1015005-2,2015-12-09,2015-10-15,BROADWAY,180.00, 2.50,450.00, 0.10,405.00,FULL_TIME,unknown,WEEKDAY,PARTIAL_DAY,162.00
1015005-3,2015-12-09,2015-10-15,BROADWAY,180.00, 2.50,450.00, 0.10,405.00,FULL_TIME,unknown,WEEKDAY,PARTIAL_DAY,162.00
1015006,2015-02-25,2015-10-19,BROADWAY,295.00, 3.00,885.00, 0.43,504.45,NON_MEMBER,FOUNDER,WEEKDAY,FULL_DAY,168.15
1015007,2015-02-25,2015-10-19,BROADWAY,295.00, 3.00,885.00, 0.00,885.00,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,295.00
1015007-2,2015-02-25,2015-10-28,BROADWAY,295.00, 3.00,885.00, 0.00,885.00,NON_MEMBER,NONE,WEEKDAY,FULL_DAY,295.00
1015008,2015-11-16,2015-10-15,BROADWAY,180.00, 2.00,360.00, 0.15,306.00,FULL_TIME,unknown,WEEKDAY,PARTIAL_DAY,153.00
1015009,2015-12-08,2015-10-15,ATRIUM,110.00, 2.00,220.00, 0.00,220.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,110.00
1015010,11/4-11/6/15,2015-10-23,BROADWAY,180.00, 9.00,1620.00, 0.55,729.00,FULL_TIME,FRIEND,WEEKDAY,FULL_DAY,81.00
1015011,2015-12-10,2015-10-27,BROADWAY,295.00, 4.50,1327.50, 0.15,1128.38,NON_MEMBER,unknown,WEEKDAY,FULL_DAY,250.75
1015012,2016-05-14,2015-10-27,BROADWAY,210.00, 6.00,1260.00, 0.33,844.20,FULL_TIME,FOUNDER,WEEKEND,FULL_DAY,140.70
1015012,2016-05-14,2015-10-27,ATRIUM,140.00, 6.00,840.00, 1.00, 0.00,FULL_TIME,FOUNDER,WEEKEND,FULL_DAY, 0.00
1015012,2016-05-14,2015-10-27,JINGLETOWN,105.00, 6.00,630.00, 1.00, 0.00,FULL_TIME,FOUNDER,WEEKEND,FULL_DAY, 0.00
1015012,2016-05-14,2015-10-27,OMI,90.00, 4.00,360.00, 1.00, 0.00,FULL_TIME,FOUNDER,WEEKEND,FULL_DAY, 0.00
1015013,2015-12-03,2015-10-27,BROADWAY,295.00, 1.50,442.50, 0.00,442.50,NON_MEMBER,MULTI_ROOM,WEEKDAY,PARTIAL_DAY,295.00
1015013,2015-12-03,2015-10-27,ATRIUM,195.00, 1.50,292.50, 0.50,146.25,NON_MEMBER,MULTI_ROOM,WEEKDAY,PARTIAL_DAY,97.50
1115001,2015-12-13,2015-10-29,BROADWAY,255.00, 4.00,1020.00, 0.15,867.00,PART_TIME,unknown,WEEKEND,FULL_DAY,216.75
1115001,2015-12-13,2015-10-29,ATRIUM,180.00, 4.00,720.00, 0.50,360.00,PART_TIME,unknown,WEEKEND,FULL_DAY,90.00
1115002,2015-11-21,2015-10-29,BROADWAY,210.00, 3.00,630.00, 0.00,630.00,FULL_TIME,NONE,WEEKEND,FULL_DAY,210.00
1115002-2,2015-11-21,2015-11-18,BROADWAY,210.00, 3.00,630.00, 0.00,630.00,FULL_TIME,NONE,WEEKEND,FULL_DAY,210.00
1115003,2015-11-08,2015-11-05,BROADWAY,210.00,10.50,2205.00, 0.85,330.75,FULL_TIME,unknown,WEEKEND,FULL_DAY,31.50
1115003-2,2015-11-08,2015-11-06,BROADWAY,210.00,10.50,2205.00, 0.55,992.25,FULL_TIME,FOUNDER,WEEKEND,FULL_DAY,94.50
1115003-3,2015-11-08,2015-11-11,BROADWAY,210.00,10.50,2205.00, 0.59,904.05,FULL_TIME,FOUNDER,WEEKEND,FULL_DAY,86.10
1115004,2011-12-07,2015-11-10,JINGLETOWN,75.00, 2.50,187.50, 0.00,187.50,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,75.00
1115004,2011-12-07,2015-11-10,MERIDIAN,45.00, 1.00,45.00, 0.50,22.50,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,22.50
1115005,2015-11-20,2015-11-10,BROADWAY,315.00, 2.00,630.00, 1.00, 0.00,NON_MEMBER,FOUNDER,WEEKEND,PARTIAL_DAY, 0.00
1115006,2015-12-17,2015-11-11,BROADWAY,225.00, 3.00,675.00, 0.60,270.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,90.00
1115006,2015-12-17,2015-11-11,ATRIUM,150.00, 3.00,450.00, 0.60,180.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,60.00
1115006-3,2015-12-17,2015-12-09,BROADWAY,225.00, 3.50,787.50, 0.60,315.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,90.00
1115006-3,2015-12-17,2015-12-09,ATRIUM,150.00, 3.50,525.00, 0.60,210.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,60.00
1115006-3,2015-12-17,2015-12-09,JINGLETOWN,115.00, 3.50,402.50, 0.10,362.25,PART_TIME,unknown,WEEKDAY,FULL_DAY,103.50
1115006-3,2015-12-17,2015-12-09,OMI,85.00, 3.50,297.50, 0.10,267.75,PART_TIME,unknown,WEEKDAY,FULL_DAY,76.50
1115006-3,2015-12-17,2015-12-09,UPTOWN,65.00, 3.50,227.50, 0.10,204.75,PART_TIME,unknown,WEEKDAY,FULL_DAY,58.50
1115006-4,2015-12-17,2015-12-10,BROADWAY,225.00, 3.00,675.00, 0.60,270.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,90.00
1115006-4,2015-12-17,2015-12-10,ATRIUM,150.00, 3.00,450.00, 0.60,180.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,60.00
1115006-4,2015-12-17,2015-12-10,JINGLETOWN,115.00, 3.00,345.00, 0.20,276.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,92.00
1115006-4,2015-12-17,2015-12-10,OMI,85.00, 3.00,255.00, 0.20,204.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,68.00
1115006-4,2015-12-17,2015-12-10,UPTOWN,65.00, 3.00,195.00, 0.20,156.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,52.00
1115006-5,2015-12-17,2015-12-11,BROADWAY,225.00, 3.00,675.00, 0.60,270.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,90.00
1115006-5,2015-12-17,2015-12-11,ATRIUM,150.00, 3.00,450.00, 0.60,180.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,60.00
1115006-5,2015-12-17,2015-12-11,JINGLETOWN,115.00, 3.00,345.00, 0.50,172.50,PART_TIME,unknown,WEEKDAY,FULL_DAY,57.50
